protocol,dataset,backbone,noise_type,noise_name,noise_ratio,noise_generator,seed,device,num_samples,feature_sha256,tau_global,tau_local,knn_k,actual_noise_rate,precision,recall,f1,clean_count,hard_count,noisy_count,local_gmm_fallback
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,human,human_worse_label,,human_worse_label,1,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.40208,0.9804420004150238,0.9400616792678074,0.9598273235144743,29417,1307,19276,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,human,human_worse_label,,human_worse_label,2,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.40208,0.980439970945315,0.9399621965777955,0.9597744933719335,29419,1307,19274,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,human,human_worse_label,,human_worse_label,3,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.40208,0.9842291599613775,0.9126541981695185,0.9470913126516286,29413,1945,18642,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,instance,instance_0.4,0.4,jyp_matrix_idn,1,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.40166,0.9627633984412586,0.9964646716128068,0.9793241821429445,28762,452,20786,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,instance,instance_0.4,0.4,jyp_matrix_idn,2,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.40002,0.9778756681845179,0.9878006099695015,0.9828130829498819,29512,284,20204,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,instance,instance_0.4,0.4,jyp_matrix_idn,3,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.39842,0.9700402079042856,0.9930726369158175,0.9814213072057547,29303,303,20394,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,pairflip,pairflip_0.3,0.3,pairflip_0.3,1,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.29882,0.9327481687294772,0.9886219128572384,0.9598726321603795,33521,643,15836,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,pairflip,pairflip_0.3,0.3,pairflip_0.3,2,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.30154,0.9329990598558445,0.9873316972872588,0.9593967517401392,33355,690,15955,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,pairflip,pairflip_0.3,0.3,pairflip_0.3,3,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.30044,0.92627387544329,0.9910797497004393,0.9575816047596076,33394,533,16073,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,symmetric,symmetric_0.6,0.6,symmetric_0.6,1,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.60028,0.9859382736425153,0.9951689211701206,0.9905320930541047,19285,420,30295,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,symmetric,symmetric_0.6,0.6,symmetric_0.6,2,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.5998,0.9857940467144604,0.9949649883294431,0.9903582867289533,19289,442,30269,False
global_local_gmm_pairflip_v1,cifar10,clip_vit_l14,symmetric,symmetric_0.6,0.6,symmetric_0.6,3,cuda:0,50000,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,0.8,0.5,20,0.60068,0.9856501946295441,0.9948391822601053,0.9902233711142043,19207,479,30314,False
