protocol,dataset,backbone,noise_type,noise_name,noise_ratio,noise_generator,seed,device,num_samples,feature_sha256,tau_global,tau_local,knn_k,actual_noise_rate,precision,recall,f1,clean_count,hard_count,noisy_count,local_gmm_fallback,derived_from
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,human,human_worse_label,,human_worse_label,1,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.40208,0.9559936630874846,0.8104357341822523,0.8772175411204135,28858,4099,17043,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\human_worse_label\seed_1\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,human,human_worse_label,,human_worse_label,2,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.40208,0.9558944281524927,0.8106844409072821,0.8773214189589277,28836,4114,17050,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\human_worse_label\seed_2\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,human,human_worse_label,,human_worse_label,3,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.40208,0.9559504956302423,0.8106844409072821,0.8773450327026081,28846,4105,17049,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\human_worse_label\seed_3\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,1,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.40166,0.9391754572728153,0.9664392770004482,0.9526123340450072,27863,1471,20666,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\instance_0.4\seed_1\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,2,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.40002,0.9444362781125973,0.9637018149092546,0.9539717891610987,28499,1092,20409,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\instance_0.4\seed_2\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,instance,instance_0.4,0.4,jyp_matrix_idn,3,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.39842,0.9561442897769795,0.9619998996034336,0.9590631568411571,28812,1145,20043,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\instance_0.4\seed_3\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,1,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.29882,0.8279351082471313,0.9803226022354595,0.8977077715126256,30680,1629,17691,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\pairflip_0.3\seed_1\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,2,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.30154,0.8288222384784198,0.9769184851097699,0.8967973697028738,30493,1736,17771,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\pairflip_0.3\seed_2\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,pairflip,pairflip_0.3,0.3,pairflip_0.3,3,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.30044,0.8333427713913585,0.9796298761816004,0.9005844374407148,30746,1595,17659,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\pairflip_0.3\seed_3\metrics.json
global_local_gmm_pairflip_v1,cifar10,vit_b16_imagenet,symmetric,symmetric_0.6,0.6,symmetric_0.6,1,cuda,50000,a4a7ef3cc3c3e14a7b4837cdaa5994a2f9db6b613c976c2bb11ce8f303d18812,0.8,0.5,20,0.60028,0.9769805478898835,0.9672152995268875,0.9720733994106616,18649,1637,29714,False,../history/generalization_pre_consolidation_2026-09-07/gmm_tau_l_0.8/cifar10\vit_b16\g0.8_l0.8_k20_cuda_a4a7ef3cc3c3\symmetric_0.6\seed_1\metrics.json
