comparison_protocol,method_protocol,dataset,backbone,method,noise_name,seed,actual_noise_rate,feature_sha256,noisy_labels_sha256,source_partition,predicted_clean,predicted_noisy,score_direction,theta_gmm,theta_consistency,selection,clip_checkpoint,precision,recall,f1,auroc,auprc
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,symmetric_0.6,2,0.5998,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,8d031f23c744edbe3ace9a8e70583a7bfa5933dc768bf04958b0fec17018fbe9,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/symmetric_0.6/seed_2/partition.csv,19049,30951,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9669477561306581,0.9979326442147383,0.9821958943896556,0.9984847281261002,0.9988821463713577
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,symmetric_0.6,3,0.60068,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,9919879875c84b160ee10bb9ef4e418af02f8265a8f2dd9dd97bc8ff5f1b1bb1,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/symmetric_0.6/seed_3/partition.csv,18965,31035,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9659416787497986,0.9981354464939735,0.98177471384827,0.9985070361106856,0.9988842020904913
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,human_noisy_label,1,0.402,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,4a1efd5da7a214b299cf6ac0bafe3f0d48c065b7aa2d40aa185d4711714bb311,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/human_noisy_label/seed_1/partition.csv,25068,24932,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.760508583346703,0.9433333333333334,0.8421122757150471,0.9434564884607064,0.9254592309968823
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,human_noisy_label,2,0.402,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,4a1efd5da7a214b299cf6ac0bafe3f0d48c065b7aa2d40aa185d4711714bb311,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/human_noisy_label/seed_2/partition.csv,25065,24935,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7606577100461199,0.9436318407960199,0.8423226379482625,0.9434689820130119,0.9254869807476644
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,human_noisy_label,3,0.402,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,4a1efd5da7a214b299cf6ac0bafe3f0d48c065b7aa2d40aa185d4711714bb311,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/human_noisy_label/seed_3/partition.csv,25068,24932,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7603882560564736,0.94318407960199,0.8419790371291526,0.9435568927935571,0.9255791495644687
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,instance_0.4,1,0.39738,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,6a2c5f125b97bbc808c4208626d75b772b9e6d095c86757854c64aaa0fb8f990,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/instance_0.4/seed_1/partition.csv,24761,25239,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7862038908039146,0.9986914288590266,0.8797995920900948,0.9963578680074378,0.9945685360241647
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,instance_0.4,2,0.39742,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,f2958ef08320644e73329ce7996207f974e92cadfd1bbb2eadda92d954df6ea6,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/instance_0.4/seed_2/partition.csv,24633,25367,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7818425513462373,0.9980876654421016,0.8768292143772934,0.9959899095857517,0.9941139900349182
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,instance_0.4,3,0.3965,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,b171d76d81a097ff165018ac165558e7b929fc16255c394f0b6ab22f63109fee,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/instance_0.4/seed_3/partition.csv,24708,25292,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7827771627392061,0.9986380832282472,0.8776292749961212,0.996169154501223,0.9942595124856359
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,pairflip_0.3,1,0.29898,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,8a94da3360f80141eab7d0b746a71fad343be4539d812bf5eb4c32f679b0e377,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/pairflip_0.3/seed_1/partition.csv,22926,27074,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.55049124621408,0.9969897652016857,0.7093258453703924,0.9373209635326274,0.7940106883516694
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,pairflip_0.3,2,0.30056,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0a2435afc13419d3aa92f3dfd548e6ee4e9b481026bbc9fb6944033309b43435,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/pairflip_0.3/seed_2/partition.csv,23027,26973,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.5561116672227784,0.9981368112856002,0.7142687078879074,0.9396545564524931,0.7991472458093036
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,pairflip_0.3,3,0.30014,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,0a33fa88b7c01b7d1f0d62a8278ffbaa120b3421481a137f7415f710f3197e65,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/pairflip_0.3/seed_3/partition.csv,22851,27149,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.5515120262256437,0.9977343906177117,0.7103615143751779,0.939297927268154,0.8016694545854006
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,symmetric_0.6,1,0.59664,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,4cca36e1f5d6ea4bf5a8bd7fab4712c64e5d21b9c69d76345e8264c52c411e16,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/symmetric_0.6/seed_1/partition.csv,17042,32958,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9035439043631288,0.9982233842853312,0.9485268354833573,0.996678139947849,0.9976985503289149
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,symmetric_0.6,2,0.602,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,61629ed03596ad345aeb5bd4f6b8c92c3ae5a14aae6b6e05091a357c74a1299c,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/symmetric_0.6/seed_2/partition.csv,16833,33167,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9060813459161214,0.998405315614618,0.9500055321099468,0.9966916375899431,0.9977146992664254
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar100,clip_vit_l14,CLIPCleaner,symmetric_0.6,3,0.60038,545c5fce3452b8dc83b51045507c6acb95698dccc6db7ee2e214838036841ae4,a6b09b073d4cdd3057c64c681c281deb30412a9dc9b531ad1b24067519845690,cifar100/clip_vit_l14/g0.8_l0.5_k20_cuda_0_545c5fce3452/symmetric_0.6/seed_3/partition.csv,16827,33173,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9030536882404365,0.997934641393784,0.9481263451069756,0.9965717114792816,0.997675436117422
