comparison_protocol,method_protocol,dataset,backbone,method,noise_name,seed,actual_noise_rate,feature_sha256,noisy_labels_sha256,source_partition,predicted_clean,predicted_noisy,score_direction,theta_gmm,theta_consistency,selection,clip_checkpoint,precision,recall,f1,auroc,auprc
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,human_worse_label,1,0.40208,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,a64d887522cf6d8f4966912a1536ea2d890600929a8465a7f307cdca2501847b,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/human_worse_label/seed_1/partition.csv,27503,22497,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.8790949904431702,0.9837345801830482,0.92847585737424,0.9879925972113861,0.9837497464475644
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,human_worse_label,2,0.40208,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,a64d887522cf6d8f4966912a1536ea2d890600929a8465a7f307cdca2501847b,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/human_worse_label/seed_2/partition.csv,27503,22497,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.8790949904431702,0.9837345801830482,0.92847585737424,0.987994771814608,0.9837528440995671
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,human_worse_label,3,0.40208,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,a64d887522cf6d8f4966912a1536ea2d890600929a8465a7f307cdca2501847b,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/human_worse_label/seed_3/partition.csv,27499,22501,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.8789831563041642,0.9837843215280542,0.9284356296209365,0.9880075939873162,0.9837706108746735
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,instance_0.4,1,0.40166,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,726b72c040571e559cbcf83f602caa44a880c850311e5c68182a84d48b0f2b15,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/instance_0.4/seed_1/partition.csv,27332,22668,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.8852567496029645,0.9992033062789424,0.93878505765947,0.9978368000894028,0.9962984606282081
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,instance_0.4,2,0.40002,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,67683ff7672fc8d2577212a13ae470eb0b1ff59ba21d0d45d3ba66ba72905d3b,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/instance_0.4/seed_2/partition.csv,27265,22735,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.8787772157466461,0.9989000549972501,0.9349962560838637,0.9980509066483074,0.9966449691461647
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,instance_0.4,3,0.39842,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,bdad1092ec0d439414d96de58bee5ff3c287ffa0da79720f43ef1f3253d4c5bc,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/instance_0.4/seed_3/partition.csv,27720,22280,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.8934021543985637,0.9991968274685006,0.9433425748205019,0.9982677637040659,0.996865124301496
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,pairflip_0.3,1,0.29882,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,cc2972cca490018b82c952e02a7922706bd0abc8aace3e38247731534c679b5c,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/pairflip_0.3/seed_1/partition.csv,29652,20348,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7335364655002948,0.9989960511344622,0.8459293264189974,0.9766764314280818,0.8891753066898804
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,pairflip_0.3,2,0.30154,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,aa65a2fba6c9e1eb08448ff9593b02fbdaca80345746e6e3e1db576759fdc92e,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/pairflip_0.3/seed_2/partition.csv,29552,20448,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7367468701095462,0.9992040856934403,0.8481351161154117,0.9767049433729809,0.8901250099441106
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,pairflip_0.3,3,0.30044,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,78a89a127470d7477b82b21a81b61dad244ed07ffad1512521ab7af5a0139b9c,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/pairflip_0.3/seed_3/partition.csv,29579,20421,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.7347828216052104,0.9988683264545334,0.8467116214767373,0.9762260181817005,0.888614436008459
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,symmetric_0.6,1,0.60028,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,68bb34817ea2b951015d88bfab639daf5cf94baae435c2fc2fc5366c57739b56,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/symmetric_0.6/seed_1/partition.csv,19041,30959,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9674731095965632,0.9979342973279136,0.9824676496154036,0.9986451534265496,0.998998380665685
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,symmetric_0.6,2,0.5998,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,8d031f23c744edbe3ace9a8e70583a7bfa5933dc768bf04958b0fec17018fbe9,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/symmetric_0.6/seed_2/partition.csv,19049,30951,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9669477561306581,0.9979326442147383,0.9821958943896556,0.9984847281261002,0.9988821463713577
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_l14,CLIPCleaner,symmetric_0.6,3,0.60068,324cdcecef350cd0919f5089804d0503cecbd6eefb3927711811c9cf05922ed4,9919879875c84b160ee10bb9ef4e418af02f8265a8f2dd9dd97bc8ff5f1b1bb1,cifar10/clip_vit_l14/g0.8_l0.5_k20_cuda_0_324cdcecef35/symmetric_0.6/seed_3/partition.csv,18965,31035,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-L-14.pt,0.9659416787497986,0.9981354464939735,0.98177471384827,0.9985070361106856,0.9988842020904913
