comparison_protocol,method_protocol,dataset,backbone,method,noise_name,seed,actual_noise_rate,feature_sha256,noisy_labels_sha256,source_partition,predicted_clean,predicted_noisy,score_direction,theta_gmm,theta_consistency,selection,clip_checkpoint,precision,recall,f1,auroc,auprc
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,human_worse_label,1,0.40208,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,a64d887522cf6d8f4966912a1536ea2d890600929a8465a7f307cdca2501847b,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/human_worse_label/seed_1/partition.csv,25962,24038,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.8218653798152925,0.9826900119379228,0.8951112319333061,0.9792919223702788,0.971170425816172
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,human_worse_label,2,0.40208,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,a64d887522cf6d8f4966912a1536ea2d890600929a8465a7f307cdca2501847b,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/human_worse_label/seed_2/partition.csv,25958,24042,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.8218118292987272,0.9827894946279347,0.8951207357404974,0.9792800435793814,0.971140929607847
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,human_worse_label,3,0.40208,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,a64d887522cf6d8f4966912a1536ea2d890600929a8465a7f307cdca2501847b,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/human_worse_label/seed_3/partition.csv,25963,24037,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.8219411740233806,0.9827397532829287,0.8951768197367527,0.9793173396052595,0.9711988019214707
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,instance_0.4,1,0.40166,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,726b72c040571e559cbcf83f602caa44a880c850311e5c68182a84d48b0f2b15,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/instance_0.4/seed_1/partition.csv,25101,24899,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.805574521065103,0.9987551660608475,0.8918233960250767,0.9955429519088522,0.9929732379022478
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,instance_0.4,2,0.40002,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,67683ff7672fc8d2577212a13ae470eb0b1ff59ba21d0d45d3ba66ba72905d3b,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/instance_0.4/seed_2/partition.csv,25056,24944,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.8009140474663246,0.9988500574971252,0.888997663811325,0.9958032807716591,0.992960322239509
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,instance_0.4,3,0.39842,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,bdad1092ec0d439414d96de58bee5ff3c287ffa0da79720f43ef1f3253d4c5bc,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/instance_0.4/seed_3/partition.csv,25523,24477,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.8123136005229399,0.9980924652376889,0.8956709761700977,0.9954222266486148,0.9923093551894007
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,pairflip_0.3,1,0.29882,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,cc2972cca490018b82c952e02a7922706bd0abc8aace3e38247731534c679b5c,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/pairflip_0.3/seed_1/partition.csv,27263,22737,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.6557153538285614,0.9978582424201861,0.7913902011784065,0.9566448619387659,0.8244402985907083
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,pairflip_0.3,2,0.30154,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,aa65a2fba6c9e1eb08448ff9593b02fbdaca80345746e6e3e1db576759fdc92e,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/pairflip_0.3/seed_2/partition.csv,27285,22715,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.662425709883337,0.9980102142336008,0.7963060965283658,0.9565152309013637,0.8259357645342729
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,pairflip_0.3,3,0.30044,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,78a89a127470d7477b82b21a81b61dad244ed07ffad1512521ab7af5a0139b9c,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/pairflip_0.3/seed_3/partition.csv,27270,22730,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.6595248570171579,0.9979363600053255,0.7941830896376351,0.9558371595713786,0.8217059392962669
stage1_clip_baselines_v1,clipcleaner_combined_selection_v1,cifar10,clip_vit_b16,CLIPCleaner,symmetric_0.6,1,0.60028,f640b02cc936b7b69e4d4510d7aeac3f1b567525046fa9bef2ae4bd69cec496f,68bb34817ea2b951015d88bfab639daf5cf94baae435c2fc2fc5366c57739b56,cifar10/clip_vit_b16/g0.8_l0.5_k20_cuda_f640b02cc936/symmetric_0.6/seed_1/partition.csv,18039,31961,higher_is_noisier,0.5,0.8,intersection_of_four_upstream_rules,/home/user/.cache/clip/ViT-B-16.pt,0.9349519727167486,0.9956020523755581,0.9643243243243244,0.9962501863185352,0.9973513738404581
